year,base_year,value,index_type,series_type,series_deflated,data_version
1968,1968,11.55,productivity,indexed,real,"November 9, 2023"
1969,1968,11.65,productivity,indexed,real,"November 9, 2023"
1970,1968,11.87,productivity,indexed,real,"November 9, 2023"
1971,1968,12.39,productivity,indexed,real,"November 9, 2023"
1972,1968,12.89,productivity,indexed,real,"November 9, 2023"
1973,1968,13.11,productivity,indexed,real,"November 9, 2023"
1974,1968,12.73,productivity,indexed,real,"November 9, 2023"
1975,1968,13.08,productivity,indexed,real,"November 9, 2023"
1976,1968,13.4,productivity,indexed,real,"November 9, 2023"
1977,1968,13.53,productivity,indexed,real,"November 9, 2023"
1978,1968,13.69,productivity,indexed,real,"November 9, 2023"
1979,1968,13.53,productivity,indexed,real,"November 9, 2023"
1980,1968,13.16,productivity,indexed,real,"November 9, 2023"
1981,1968,13.39,productivity,indexed,real,"November 9, 2023"
1982,1968,13.27,productivity,indexed,real,"November 9, 2023"
1983,1968,13.68,productivity,indexed,real,"November 9, 2023"
1984,1968,14.01,productivity,indexed,real,"November 9, 2023"
1985,1968,14.23,productivity,indexed,real,"November 9, 2023"
1986,1968,14.58,productivity,indexed,real,"November 9, 2023"
1987,1968,14.5,productivity,indexed,real,"November 9, 2023"
1988,1968,14.69,productivity,indexed,real,"November 9, 2023"
1989,1968,14.8,productivity,indexed,real,"November 9, 2023"
1990,1968,14.85,productivity,indexed,real,"November 9, 2023"
1991,1968,14.94,productivity,indexed,real,"November 9, 2023"
1992,1968,15.52,productivity,indexed,real,"November 9, 2023"
1993,1968,15.59,productivity,indexed,real,"November 9, 2023"
1994,1968,15.73,productivity,indexed,real,"November 9, 2023"
1995,1968,15.74,productivity,indexed,real,"November 9, 2023"
1996,1968,15.93,productivity,indexed,real,"November 9, 2023"
1997,1968,16.18,productivity,indexed,real,"November 9, 2023"
1998,1968,16.51,productivity,indexed,real,"November 9, 2023"
1999,1968,16.88,productivity,indexed,real,"November 9, 2023"
2000,1968,17.12,productivity,indexed,real,"November 9, 2023"
2001,1968,17.41,productivity,indexed,real,"November 9, 2023"
2002,1968,17.98,productivity,indexed,real,"November 9, 2023"
2003,1968,18.61,productivity,indexed,real,"November 9, 2023"
2004,1968,19.16,productivity,indexed,real,"November 9, 2023"
2005,1968,19.53,productivity,indexed,real,"November 9, 2023"
2006,1968,19.68,productivity,indexed,real,"November 9, 2023"
2007,1968,19.87,productivity,indexed,real,"November 9, 2023"
2008,1968,19.72,productivity,indexed,real,"November 9, 2023"
2009,1968,20.5,productivity,indexed,real,"November 9, 2023"
2010,1968,21.13,productivity,indexed,real,"November 9, 2023"
2011,1968,20.93,productivity,indexed,real,"November 9, 2023"
2012,1968,20.99,productivity,indexed,real,"November 9, 2023"
2013,1968,21.24,productivity,indexed,real,"November 9, 2023"
